ticker,avg_daily_return,daily_return_vol
AAPL,0.0008685754803987962,0.017701336327834407
AMZN,0.0005319272052029155,0.022130093871564508
DIS,-0.00009139947682726699,0.018793489325780018
GOOGL,0.0012139293370485274,0.01959448707325208
JPM,0.0009620798117630982,0.015264033619207867
META,0.0010402988854543963,0.02735385502075098
MSFT,0.0008120085236166425,0.01619203605394742
NFLX,0.0010009634892854643,0.027280179529457414
NVDA,0.0026170086205258188,0.03283488145178298
PYPL,-0.0006241356484838706,0.02634624809883301
TSLA,0.0013576446435183743,0.03847371027628167
