ticker,yr,annual_return
AAPL,2020,0.1331483339308761
AAPL,2021,0.32904489059728803
AAPL,2022,-0.24337081758858403
AAPL,2023,0.4194921174857882
AAPL,2024,0.2934128271008376
AAPL,2025,0.15833487637428334
AMZN,2020,0.02084288143669255
AMZN,2021,0.052497832126391586
AMZN,2022,-0.5601660896500107
AMZN,2023,0.6470287810079753
AMZN,2024,0.40695869016781216
AMZN,2025,0.10040654744079802
DIS,2020,0.21915980119229062
DIS,2021,-0.1260594065024634
DIS,2022,-0.5085887208188069
DIS,2023,0.07651943510427373
DIS,2024,0.2517700617754599
DIS,2025,-0.027507514168974012
GOOGL,2020,-0.017983836121857166
GOOGL,2021,0.5323582327800978
GOOGL,2022,-0.42119738875044277
GOOGL,2023,0.5055254799153772
GOOGL,2024,0.34677821610239334
GOOGL,2025,0.5780006140703335
JPM,2020,0.049531745607964694
JPM,2021,0.2676915311240009
JPM,2022,-0.09094454349542502
JPM,2023,0.28855375754937995
JPM,2024,0.39412975414597895
JPM,2025,0.2984479188307887
META,2020,-0.0143667864613235
META,2021,0.25167866292395047
META,2022,-0.809048326977063
META,2023,1.155361704470124
META,2024,0.5719730555629212
META,2025,0.14997679172665812
MSFT,2020,0.03399699888541363
MSFT,2021,0.4442307240169612
MSFT,2022,-0.26679389958735555
MSFT,2023,0.489942790412897
MSFT,2024,0.1415903044398874
MSFT,2025,0.17610377897108265
NFLX,2020,0.09974789142142981
NFLX,2021,0.15809129673289135
NFLX,2022,-0.44836091026081704
NFLX,2023,0.5698264549282612
NFLX,2024,0.6489200436917599
NFLX,2025,0.2279844025397324
NVDA,2020,-0.013680966105312109
NVDA,2021,0.9143397206207737
NVDA,2022,-0.49972862389404327
NVDA,2023,1.3345478970477416
NVDA,2024,1.135709544425481
NVDA,2025,0.4131582466652617
PYPL,2020,0.1058984991395846
PYPL,2021,-0.14988830432412215
PYPL,2022,-0.7963077041495126
PYPL,2023,-0.08047478654771112
PYPL,2024,0.38665261190908495
PYPL,2025,-0.24917055487458128
TSLA,2020,0.20274558663368225
TSLA,2021,0.5514837314476608
TSLA,2022,-0.8265578715363517
TSLA,2023,0.8468654499738477
TSLA,2024,0.6826518829184351
TSLA,2025,0.24665524817828555
